Time,Cores,Active
42300,medium,0
42300,large,3
42400,small,2
42400,medium,0
42400,large,3
42500,small,0
42500,medium,0
42500,large,0
42600,small,0
42600,medium,0
42600,large,0
42700,small,2
42700,medium,0
42700,large,3
42800,small,2
42800,medium,0
42800,large,3
42900,small,2
42900,medium,0
42900,large,3
43000,small,2
43000,medium,0
43000,large,3
43100,small,2
43100,medium,0
43100,large,3
43200,small,0
43200,medium,0
43200,large,0
43300,small,0
43300,medium,0
43300,large,0
43400,small,2
43400,medium,0
43400,large,3
43500,small,2
43500,medium,0
43500,large,3
43600,small,2
43600,medium,0
43600,large,3
43700,small,0
43700,medium,0
43700,large,0
43800,small,0
43800,medium,0
43800,large,0
43900,small,2
43900,medium,0
43900,large,3
44000,small,0
44000,medium,0
44000,large,0
44100,small,0
44100,medium,0
44100,large,0
44200,small,2
44200,medium,0
44200,large,3
44300,small,2
44300,medium,0
44300,large,3
44400,small,2
44400,medium,0
44400,large,3
44500,small,2
44500,medium,0
44500,large,3
44600,small,0
44600,medium,0
44600,large,0
44700,small,0
44700,medium,0
44700,large,0
44800,small,2
44800,medium,0
44800,large,3
44900,small,2
44900,medium,0
44900,large,3
45000,small,2
45000,medium,0
45000,large,3
45100,small,2
45100,medium,0
45100,large,3
45200,small,0
45200,medium,0
45200,large,0
45300,small,0
45300,medium,0
45300,large,0
45400,small,2
45400,medium,0
45400,large,3
45500,small,2
45500,medium,0
45500,large,3
45600,small,2
45600,medium,0
45600,large,3
45700,small,2
45700,medium,0
45700,large,3
45800,small,2
45800,medium,0
45800,large,3
45900,small,2
45900,medium,0
45900,large,3
46000,small,2
46000,medium,0
46000,large,3
46100,small,2
46100,medium,0
46100,large,3
46200,small,2
46200,medium,0
46200,large,3
46300,small,0
46300,medium,0
46300,large,0
46400,small,0
46400,medium,0
46400,large,0
46500,small,2
46500,medium,0
46500,large,3
46600,small,2
46600,medium,0
46600,large,3
46700,small,2
46700,medium,0
46700,large,3
46800,small,2
46800,medium,0
46800,large,3
46900,small,2
46900,medium,0
46900,large,3
47000,small,2
47000,medium,0
47000,large,3
47100,small,2
47100,medium,0
47100,large,3
47200,small,0
47200,medium,0
47200,large,0
